2022-08-22,1,1,
2022-08-24,1,2,
2022-08-26,1,3,
2022-08-29,2,4,
2022-08-31,2,5,
2022-09-02,2,6,
2022-09-05,3,7,
2022-09-07,3,8,
2022-09-09,3,9,
2022-09-12,4,10,
2022-09-14,4,11,
2022-09-16,4,12,
2022-09-19,5,13,
2022-09-21,5,14,
2022-09-23,5,15,
2022-09-26,6,16,
2022-09-28,6,17,
2022-09-30,6,18,
2022-10-03,7,19,
2022-10-05,7,20,
2022-10-07,7,21,
2022-10-10,8,22,
2022-10-12,8,23,
2022-10-14,8,24,
2022-10-17,9,25,
2022-10-19,9,26,
2022-10-21,9,27,
2022-10-24,10,28,
2022-10-26,10,29,
2022-10-28,10,30,
2022-10-31,11,31,
2022-11-02,11,32,
2022-11-04,11,33,
2022-11-07,12,34,
2022-11-09,12,35,
2022-11-11,12,36,
2022-11-14,13,37,
2022-11-16,13,38,
2022-11-18,13,39,
2022-11-21,14,40,
2022-11-23,14,41,
2022-11-25,14,42,
2022-11-28,15,43,
2022-11-30,15,44,
2022-12-02,15,45,
2022-08-26,1,,1
2022-09-02,2,,2
2022-09-09,3,,3
2022-09-16,4,,4
2022-09-23,5,,5
2022-09-30,6,,6
2022-10-07,7,,7
2022-10-14,8,,8
2022-10-21,9,,9
2022-10-28,10,,10
2022-11-04,11,,11
2022-11-11,12,,12
2022-11-18,13,,13
2022-11-25,14,,14
2022-12-02,15,,15
